id,url,title,description,config,created,type,active,user_id,publisher_id,frequency,next_run
192999a2-dc35-4d2f-94a6-85e32341a493,http://geoportal.sampangkab.go.id/csw,Pemerintah Kabupaten Sampang - Spasial,"","",2021-09-16 13:58:00.930279,csw,t,"","",DAILY,2022-02-15 20:12:46.363897
22859a38-4314-4ca3-8bd3-bf053eebf6c8,https://data.kominfo.go.id/,Kementerian Komunikasi dan Informatika - CKAN,"","",2021-09-08 16:43:35.065856,ckan,t,"","",WEEKLY,2022-02-16 18:59:18.412666
b039cf45-7407-4db5-ae2a-d8b18774fb0b,http://data.lan.go.id/,Lembaga Administrasi Negara - CKAN,"","",2021-09-08 16:46:16.160469,ckan,t,"","",WEEKLY,2022-02-16 18:59:18.336378
4f0c81e1-bab5-4777-bcfb-b67325fda028,http://data.mojokertokota.go.id/,Pemerintah Kota Mojokerto - CKAN,"","",2021-09-10 09:46:19.912782,ckan,t,"","",WEEKLY,2022-02-17 13:05:26.004862
cd950905-ebb5-481f-bb4b-f77ff0c312b4,http://tapselkab.ina-sdi.or.id/csw,Pemerintah Kabupaten Tapanuli Selatan,"","",2021-09-17 03:56:35.96778,csw,t,"","",DAILY,2022-02-15 20:12:45.898561
83fecc4e-e3b7-4eb9-b992-467d4f4dfc3a,http://purwakartakab.ina-sdi.or.id/csw/,Pemerintah Kabupaten Purwakarta - Spasial,"","",2021-09-10 03:05:45.798139,csw,t,"","",DAILY,2022-02-15 20:12:51.109856
5670c330-790e-4a9e-ac98-ae1eb89a55b8,http://lahatkab.ina-sdi.or.id/csw,Pemerintah Kabupaten Lahat - Spasial,"","",2021-09-13 04:53:45.384963,csw,t,"","",DAILY,2022-02-15 20:12:48.149405
f84aa627-90a4-4739-93b7-15bb98a96de4,http://jemberkab.ina-sdi.or.id/csw,Pemerintah Kabupaten Jember - Spasial,"","",2021-09-17 03:41:34.206151,csw,t,"","",DAILY,2022-02-15 20:12:46.186423
eeb647c0-71aa-45f4-92a6-0eef6c0d717e,http://cimahikota.ina-sdi.or.id/csw/,Pemerintah Kota Cimahi - Spasial,"","",2021-09-10 03:17:55.860995,csw,t,"","",DAILY,2022-02-15 20:12:50.945253
8bdd54bd-d3ee-49c8-b975-ca98d9aecc61,http://180.250.158.197/,Pemerintah Kota Bontang - CKAN,"","",2022-01-11 04:42:17.563876,ckan,t,"","",MONTHLY,2022-03-01 05:12:13.442989
